1-05:04:20 7-06:26:00
18:16:42 4-13:40:12
18:11:43 4-13:10:18
18:13:38 4-13:21:48
18:14:22 4-13:26:12
19:12:27 4-19:14:42
17:50:09 4-11:00:54
18:33:44 4-15:22:24
18:34:06 4-15:24:36
18:36:40 4-15:40:00
18:39:09 4-15:54:54
18:41:44 4-16:10:24
18:48:40 4-16:52:00
16:48:39 4-04:51:54
19:41:52 4-22:11:12
19:37:58 4-21:47:48
22:43:24 5-16:20:24
18:51:35 4-17:09:30
18:49:12 4-16:55:12
19:10:19 4-19:01:54
1-05:03:05 7-06:18:30
1-04:07:37 7-00:45:42
1-02:19:39 6-13:57:54
14:17:51 3-13:47:06
19:04:13 4-18:25:18
19:37:26 4-21:44:36
19:35:11 4-21:31:06
19:49:54 4-22:59:24
19:56:38 4-23:39:48
22:51:36 5-17:09:36
19:28:24 4-20:50:24
19:28:51 4-20:53:06
20:18:07 5-01:48:42
20:08:06 5-00:48:36
22:55:47 5-17:34:42
1-01:48:47 6-10:52:42
21:22:01 5-08:12:06
1-01:21:27 6-08:08:42
19:14:32 4-19:27:12
19:15:25 4-19:32:30
19:31:43 4-21:10:18
19:25:19 4-20:31:54
19:36:56 4-21:41:36
19:37:17 4-21:43:42
19:33:34 4-21:21:24
19:13:27 4-19:20:42
19:29:43 4-20:58:18
19:18:36 4-19:51:36
1-00:07:41 6-00:46:06
19:21:59 4-20:11:54
19:22:47 4-20:16:42
19:17:53 4-19:47:18
23:40:49 5-22:04:54
19:39:28 4-21:56:48
19:36:26 4-21:38:36
19:36:26 4-21:38:36
19:33:25 4-21:20:30
19:37:36 4-21:45:36
23:46:06 5-22:36:36
19:29:55 4-20:59:30
19:42:45 4-22:16:30
19:53:39 4-23:21:54
19:50:54 4-23:05:24
19:55:40 4-23:34:00
1-00:23:03 6-02:18:18
17:16:10 4-07:37:00
21:17:33 5-07:45:18
16:46:25 4-04:38:30
1-05:12:38 7-07:15:48
1-06:20:30 7-14:03:00
1-04:22:46 7-02:16:36
1-04:36:05 7-03:36:30
1-06:10:29 7-13:02:54
1-02:14:31 6-13:27:06
1-05:28:59 7-08:53:54
